"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"363",362,0,0,67.9,138.2,249.7,128.8,0,1.5,1133.1,169.3,265.7,743.5,0,0,30.4,4618.7,11836.6,46.5,0,0.6,29847.5,1950,8339.7,20813.9,0,0.1,8.4,93907.3,64045,12.9,0,1,52505.7,59674.4,259770.5,91555.1,0,0,1.7,108510.5,9821.8,2.9,0,0.1,16049.3,459438.3,196390.6,59159.2
"364",363,0,0,66,127.2,233.7,123.9,0,1.3,1091.5,154.7,242.5,701.3,0,0,31.8,4318.1,11361.8,46,0,0.3,28876.1,1728.8,7405.1,19716,0,0.1,7.7,89577.9,64263,12.8,0,1.1,52758.6,53422.3,241549.4,89491.9,0,0,1.9,113134.1,10245.2,2.8,0,0.1,16732.1,458311.8,215740,61498.6
"365",364,0,0.1,62.7,119.1,218.1,119,0,1.1,1050.8,142.2,219.9,661.6,0,0,31.4,4033.5,10859,45.3,0,0.2,27993.6,1538.7,6565.5,18624,0,0.1,7.7,85392.7,64429,13.1,0,1.3,52911.3,47790,223687.8,87250.3,0,0,2.1,117662.7,10663.9,2.4,0,0.1,17469.1,454245.1,235724.5,63848.6
"366",365,0,0.1,61.2,113.6,206.8,113.8,0,1.1,1011.1,130.7,199.8,624.7,0,0,29.8,3760.8,10393.2,44.1,0,0.3,27119.9,1368.5,5848.7,17604.7,0,0.1,7.2,81222.8,64553.9,11.9,0,1.1,53062.5,42776.3,206712.2,84903.6,0,0,1.9,122333.8,11095.8,2.3,0,0.1,18213.9,447474.1,256152.9,66183.1
"367",366,0,0.1,56.9,105.4,196.5,110.2,0,1.2,973.7,120.7,180,594.6,0,0,26.6,3515.6,9965.2,40.8,0,0.4,26218.3,1217.8,5196.9,16618.2,0,0.1,6.8,77187.2,64532.2,12.5,0,1.1,53130.1,38195.2,190470.2,82557.8,0,0,2.1,126889,11543.2,1.8,0,0.1,18962.7,438136.1,276822.2,68394.9
"368",367,0,0.1,52.5,96.9,185.3,105.2,0,1,939.5,109.5,162.2,565.7,0,0,24.8,3274.7,9535.8,39.8,0,0.4,25419.2,1083.6,4585.9,15715.1,0,0.1,7.2,73218.3,64492.8,12.3,0,1.1,53194.9,34026.8,174958,80091.6,0,0,2,131260.8,12008.6,1.6,0,0.1,19722.9,426560.4,297466.4,70587.5
"369",368,0,0.1,50,89.7,173.7,97.6,0,1,901.2,100.9,144.8,529.9,0,0,24.8,3066.8,9114.3,38.8,0,0.4,24591.9,960.8,4080.6,14820.3,0,0,7,69360,64447.9,10.7,0,1.1,53227.1,30370.7,160293.7,77624.7,0,0,1.7,135588.7,12510.6,1.4,0,0.1,20489,413180.5,317706.8,72850.6
"370",369,0,0.1,48.3,80,167.2,93.5,0,1.3,862,93.5,130.9,502.9,0,0,23.7,2833.9,8718.7,38.4,0,0.8,23783.3,852.2,3620.1,13972,0,0,6.6,65649.5,64227.9,10.7,0,0.9,53119.8,27073.3,146477.4,75154.8,0,0,1.9,139736.6,13015,1.6,0,0.1,21260.6,397872.6,337395.8,75051.2
"371",370,0,0,46.2,75.1,157.9,88.3,0,1.3,822.3,84.8,120.6,471.2,0,0,21.9,2639.4,8349.3,37.1,0,0.9,22955.2,754.1,3224.8,13162.5,0,0,7,62031.6,64050.4,10.3,0,1,52944.5,24117.4,133635,72664.5,0,0,1.7,143681.6,13566.7,1.5,0,0,22033.6,381236.6,355987.6,77212.2
"372",371,0,0,46.6,68.1,150.2,86,0,1.4,793.8,80.5,107.6,448.4,0,0,21.7,2442,8001.1,35.5,0,0.8,22206.5,667.4,2863.8,12408.3,0,0,6.7,58617.8,63819.1,10.3,0,0.9,52815.3,21521.1,121580.9,70148.8,0,0,1.8,147371.7,14106.6,1.6,0,0,22804.6,363249.9,373494.7,79288.7
