"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"470",469,0,0,0.5,0,3.2,2.6,0,0,37,0,0,7.9,0,0,0.3,3.2,185,1.5,0,0,344.8,0,0,51,0,0,0.2,142,5260.1,0.3,0,0.1,2040.3,1,2.9,421.3,0,0,0,3300.7,24079.2,0.3,0,0,12463.7,48.3,252.7,5227
"471",470,0,0,0.6,0,3.1,2.9,0,0,34.6,0,0,7.2,0,0,0.4,2.5,176.3,1.4,0,0,327.9,0,0,47.4,0,0,0.2,133.8,5061.3,0.5,0,0.1,1956,0.9,2.8,398.5,0,0,0,3084.3,24028.9,0.3,0,0,12155.1,43.9,225.2,4952.5
"472",471,0,0,0.6,0,3,2.8,0,0,33,0,0,6.2,0,0,0.5,2.3,169.6,1.4,0,0,314.7,0,0.1,45.5,0,0,0.2,126.2,4874.7,0.4,0,0.1,1871.5,0.7,2.8,371.7,0,0,0,2880.5,23998.7,0.2,0,0,11802.1,40,200.1,4693.7
"473",472,0,0,0.7,0,3.2,2.8,0,0.1,31.8,0,0,6.7,0,0,0.4,2.1,159.2,1.4,0,0,300,0,0.1,43.4,0,0,0,118.3,4703.4,0.5,0,0.1,1786.8,0.7,2.4,354.3,0,0,0,2685.1,23917,0.3,0,0,11498.2,34.5,174.9,4431.7
"474",473,0,0,0.7,0,2.8,2.7,0,0.1,30.9,0,0,6.5,0,0,0.4,2.1,153.5,1.4,0,0,284.2,0,0.1,39.2,0,0,0,111.2,4533.5,0.5,0,0.1,1716.6,0.5,2.4,330.9,0,0,0,2509.9,23813.1,0.2,0,0,11193.8,30.7,153.2,4192.2
"475",474,0,0,0.6,0,2.8,2.6,0,0.1,29.3,0,0,6.1,0,0,0.4,2.4,143.5,1.2,0,0,269.5,0,0.1,37.5,0,0,0,102.8,4396,0.3,0,0.2,1639.3,0.5,2.1,309.4,0,0,0,2348.1,23710.8,0.2,0,0,10875.8,27.9,134.9,3961.6
"476",475,0,0,0.7,0,2.4,2.2,0,0.1,27.4,0,0,5.3,0,0,0.4,2.2,135.8,1,0,0,260.9,0,0.1,34.8,0,0,0,96.2,4247.4,0.3,0,0.1,1569.9,0.4,2,293,0,0,0,2200.4,23617.2,0.2,0,0,10573.1,24.7,119,3745.8
"477",476,0,0,0.7,0,2.2,1.8,0,0.1,27.7,0,0,4.8,0,0,0.4,2,132.1,0.6,0,0.1,250,0,0.1,32,0,0,0,89.7,4082.7,0.3,0,0.1,1504.3,0.3,1.8,273.5,0,0,0,2063.4,23424.4,0.3,0,0,10255,22.1,105.5,3554.7
"478",477,0,0,0.6,0,2,1.9,0,0.1,26.5,0,0,4.6,0,0,0.4,1.8,125.7,0.7,0,0.1,233.3,0,0.1,27.9,0,0,0,84.8,3937.7,0.3,0,0.1,1444,0.3,1.7,259.5,0,0,0,1925,23298,0.3,0,0,9974.4,20.4,94.8,3356.5
"479",478,0,0,0.5,0,2,1.7,0,0.1,25.9,0,0,4.1,0,0,0.3,1.8,119.6,0.6,0,0.1,220.1,0,0.1,26.2,0,0,0,78.8,3781.4,0.3,0,0.1,1377.7,0.3,1.5,246.3,0,0,0,1803,23145.3,0.2,0,0,9668.3,18.6,84.2,3172.7
