"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"247",246,13.2,172.4,705.6,2937,2962.9,546.3,27.7,96,1353,296.5,93.6,1243.2,13.2,143.9,546.3,614.6,618.6,422.3,29.8,76.5,773.5,35.9,10.3,676.6,13.2,143.9,546.3,614.6,618.6,422.3,29.8,76.5,773.5,35.9,10.3,676.6,13.2,143.9,546.3,614.6,618.6,422.3,29.8,76.5,773.5,35.9,10.3,676.6
"248",247,11.2,163.5,705.7,3225.3,3111,526.4,26.4,82.8,1438,342.5,108.4,1337,11.2,127,503.7,618.3,629.8,404,23,67.3,720.3,30.9,10.7,673.9,11.2,127,503.7,618.3,629.8,404,23,67.3,720.3,30.9,10.7,673.9,11.2,127,503.7,618.3,629.8,404,23,67.3,720.3,30.9,10.7,673.9
"249",248,11.1,150.4,696.6,3538.5,3303.7,549.2,24.7,83.4,1489.5,385,129.2,1433.2,11.1,119.4,476.4,621.3,602,384.2,21.9,69.8,715.9,30.3,10.8,633.9,11.1,119.4,476.4,621.3,602,384.2,21.9,69.8,715.9,30.3,10.8,633.9,11.1,119.4,476.4,621.3,602,384.2,21.9,69.8,715.9,30.3,10.8,633.9
"250",249,9.7,148.1,665.5,3888.9,3503.9,513.9,23.3,79.4,1589,450.3,146,1522,9.7,104.6,460.3,616.9,615,369.5,15.8,57.6,696.3,30.4,9.4,630,9.7,104.6,460.3,616.9,615,369.5,15.8,57.6,696.3,30.4,9.4,630,9.7,104.6,460.3,616.9,615,369.5,15.8,57.6,696.3,30.4,9.4,630
"251",250,10.3,134.5,659.5,4154.1,3602.6,512.3,21.6,79.1,1671.1,482.3,162.2,1587.2,10.3,106,432.1,627.4,563.2,332,20.4,56.3,677.7,27.8,9.9,618.2,10.3,106,432.1,627.4,563.2,332,20.4,56.3,677.7,27.8,9.9,618.2,10.3,106,432.1,627.4,563.2,332,20.4,56.3,677.7,27.8,9.9,618.2
"252",251,8.9,134.1,660.2,4472.3,3781.1,498.3,17,71.4,1710.7,568.6,180.4,1654.9,8.9,93.7,407.9,607.8,556.6,325.8,15.9,48.8,651.2,29.1,9.2,602.2,8.9,93.7,407.9,607.8,556.6,325.8,15.9,48.8,651.2,29.1,9.2,602.2,8.9,93.7,407.9,607.8,556.6,325.8,15.9,48.8,651.2,29.1,9.2,602.2
"253",252,8,129.6,648.3,4729.7,3945.6,501.6,19.6,70.8,1775.2,617,201,1702.1,8,86.2,388.1,561.1,527.8,301.1,13.5,43.5,626.6,27.6,8.1,571.1,8,86.2,388.1,561.1,527.8,301.1,13.5,43.5,626.6,27.6,8.1,571.1,8,86.2,388.1,561.1,527.8,301.1,13.5,43.5,626.6,27.6,8.1,571.1
"254",253,7.7,114.8,609.1,5056.1,4092.2,478.6,15.1,63.6,1804.4,660.5,226,1752.2,7.7,79.3,361.4,550.9,499.5,300.6,15.1,48.7,593.2,23.7,9.2,564.4,7.7,79.3,361.4,550.9,499.5,300.6,15.1,48.7,593.2,23.7,9.2,564.4,7.7,79.3,361.4,550.9,499.5,300.6,15.1,48.7,593.2,23.7,9.2,564.4
"255",254,5.7,106.6,587.3,5344.2,4178.6,465.2,16.1,59.9,1849,738.8,245.7,1814.8,5.7,70,335.8,531,474.6,272.1,9.6,43,585.6,24.6,8.3,560.6,5.7,70,335.8,531,474.6,272.1,9.8,43,585.6,24.6,8.3,560.6,5.7,70,335.8,531,474.6,272.1,9.8,43,585.6,24.6,8.3,560.6
"256",255,5.9,103.2,595.2,5601.2,4282.8,464.1,14.1,61.1,1923.5,813.6,272.4,1874.3,5.9,63.3,315.5,495.2,458.7,249.7,12.1,36.1,549.6,23.9,6.8,529.3,5.9,63.3,315.5,494.6,459.2,249.7,11.8,36.5,549.6,23.7,6.8,529.3,5.9,63.3,315.5,494.6,459.2,249.7,11.8,36.5,549.6,23.7,6.8,529.3
"257",256,4.4,101.2,574,5882.5,4350.6,443.6,13,58.2,1942.2,876.8,307,1919.4,4.4,63.7,303.3,494.5,436.3,236.9,9.9,32.5,550.4,24.8,7.5,518.2,4.4,63.7,303.3,493.3,428.1,236.9,9.1,32.4,545.9,24.6,7.5,520.3,4.4,63.7,303.3,493.3,428.1,236.9,9.1,32.4,545.9,24.6,7.5,520.3
"258",257,3.6,95,562.6,6186.8,4475.1,453.6,13.1,49.7,2002.2,976.8,327.4,1979.4,3.6,55.4,272.5,471.8,412.3,219.9,10.6,32.8,503.5,21.4,7.6,504.4,3.6,55.4,272.5,456.1,401.4,219.9,10,33.6,500.9,21.4,7.5,505.1,3.6,55.4,272.5,456.1,401.4,219.9,10,33.6,500.9,21.4,7.5,505.1
"259",258,4,92.6,529.3,6437.5,4596.5,430.7,10.5,52.7,2045.2,1064.3,373.1,2092.1,4,54.5,255.8,449.7,398.9,207.1,8.5,29.4,503.1,24,8.2,498.2,4,54.5,255.8,436.2,381.7,207.1,8.1,29.3,497,23.6,8.4,500.7,4,54.5,255.8,436.2,381.7,207.1,8.1,29.3,497,23.6,8.4,500.7
"260",259,3.6,82.2,540.9,6669,4652.6,435.3,9.3,43.4,2027,1138.3,401.9,2143.6,3.6,49.7,246.9,433.6,390.1,195.2,7.1,22.8,492.3,25.3,6.9,480.6,3.6,49.7,246.9,404.9,364.2,195.2,7.5,24.2,482.6,23.5,6.9,477.1,3.6,49.7,246.9,404.9,364.2,195.2,7.5,24.2,482.6,23.5,6.9,477.1
"261",260,3.5,81.1,505,6918.8,4733.9,418.4,9.5,44.9,2131.5,1243.5,434,2226.1,3.5,43.8,220.2,423.9,385.3,182.5,6.5,22.2,463.2,22.5,6.1,455.9,3.5,43.4,220.8,383.2,336.2,181.8,6.4,25.4,459.5,20.6,6.6,455.6,3.5,43.4,220.8,383.2,336.2,181.8,6.4,25.4,459.5,20.6,6.6,455.6
