"","outd","NoInt:91","CI:91","CI_HQ:91","CI_HQ_SD:91","CI_SD:91","CI_HQ_SDOL70:91","MG:91","PC:91","PC_CI_HQ_SDOL70:91","PC_CI_SD:91","PC_CI_HQ_SD:91","MG_PC_CI_HQ_SDOL70:91","NoInt:121","CI:121","CI_HQ:121","CI_HQ_SD:121","CI_SD:121","CI_HQ_SDOL70:121","MG:121","PC:121","PC_CI_HQ_SDOL70:121","PC_CI_SD:121","PC_CI_HQ_SD:121","MG_PC_CI_HQ_SDOL70:121","NoInt:152","CI:152","CI_HQ:152","CI_HQ_SD:152","CI_SD:152","CI_HQ_SDOL70:152","MG:152","PC:152","PC_CI_HQ_SDOL70:152","PC_CI_SD:152","PC_CI_HQ_SD:152","MG_PC_CI_HQ_SDOL70:152","NoInt:182","CI:182","CI_HQ:182","CI_HQ_SD:182","CI_SD:182","CI_HQ_SDOL70:182","MG:182","PC:182","PC_CI_HQ_SDOL70:182","PC_CI_SD:182","PC_CI_HQ_SD:182","MG_PC_CI_HQ_SDOL70:182"
"122",121,73.3,68.2,70,69.3,67.5,71.5,74.8,75.9,70.7,66.9,70.9,70.6,73.3,68.2,70,69.3,67.5,71.5,74.8,75.9,70.7,66.9,70.9,70.6,73.3,68.2,70,69.3,67.5,71.5,74.8,75.9,70.7,66.9,70.9,70.6,73.3,68.2,70,69.3,67.5,71.5,74.8,75.9,70.7,66.9,70.9,70.6
"123",122,86.2,76.1,75.3,72.2,74.8,73.7,84.5,86.2,73.7,74.4,72.8,72.8,86.2,76.1,75.3,72.2,74.8,73.7,84.5,86.2,73.7,74.4,72.8,72.8,86.2,76.1,75.3,72.2,74.8,73.7,84.5,86.2,73.7,74.4,72.8,72.8,86.2,76.1,75.3,72.2,74.8,73.7,84.5,86.2,73.7,74.4,72.8,72.8
"124",123,100.7,94.7,82.3,82.5,90.9,81,101.5,102.5,82.8,89.4,81.6,81.7,100.7,94.7,82.3,82.5,90.9,81,101.5,102.5,82.8,89.4,81.6,81.7,100.7,94.7,82.3,82.5,90.9,81,101.5,102.5,82.8,89.4,81.6,81.7,100.7,94.7,82.3,82.5,90.9,81,101.5,102.5,82.8,89.4,81.6,81.7
"125",124,115.4,104,97.7,92.2,99.9,95.6,113.2,110.8,97.2,99.4,93,93.4,115.4,104,97.7,92.2,99.9,95.6,113.2,110.8,97.2,99.4,93,93.4,115.4,104,97.7,92.2,99.9,95.6,113.2,110.8,97.2,99.4,93,93.4,115.4,104,97.7,92.2,99.9,95.6,113.2,110.8,97.2,99.4,93,93.4
"126",125,132.5,123.6,107.1,107.7,113.2,106,121.5,133.2,104.7,115.9,103.7,104.3,132.5,123.6,107.1,107.7,113.2,106,121.5,133.2,104.7,115.9,103.7,104.3,132.5,123.6,107.1,107.7,113.2,106,121.5,133.2,104.7,115.9,103.7,104.3,132.5,123.6,107.1,107.7,113.2,106,121.5,133.2,104.7,115.9,103.7,104.3
"127",126,159.7,133.4,123,112.1,122.4,111.5,155.4,158.8,114.2,118.4,111.7,118.2,159.7,133.4,123,112.1,122.4,111.5,155.4,158.8,114.2,118.4,111.7,118.2,159.7,133.4,123,112.1,122.4,111.5,155.4,158.8,114.2,118.4,111.7,118.2,159.7,133.4,123,112.1,122.4,111.5,155.4,158.8,114.2,118.4,111.7,118.2
"128",127,170.3,146,138.8,123.6,128.9,132.3,163.1,171.9,133,127,120.9,131,170.3,146,138.8,123.6,128.9,132.3,163.1,171.9,133,127,120.9,131,170.3,146,138.8,123.6,128.9,132.3,163.1,171.9,133,127,120.9,131,170.3,146,138.8,123.6,128.9,132.3,163.1,171.9,133,127,120.9,131
"129",128,203.4,162.2,158.9,130.7,136.6,142.5,190.7,205,145.1,131.6,132.9,141,203.4,162.2,158.9,130.7,136.6,142.5,190.7,205,145.1,131.6,132.9,141,203.4,162.2,158.9,130.7,136.6,142.5,190.7,205,145.1,131.6,132.9,141,203.4,162.2,158.9,130.7,136.6,142.5,190.7,205,145.1,131.6,132.9,141
"130",129,230.7,186.8,177.8,139.8,149.4,160.6,216.2,231,162.7,149.8,137.6,154.7,230.7,186.8,177.8,139.8,149.4,160.6,216.2,231,162.7,149.8,137.6,154.7,230.7,186.8,177.8,139.8,149.4,160.6,216.2,231,162.7,149.8,137.6,154.7,230.7,186.8,177.8,139.8,149.4,160.6,216.2,231,162.7,149.8,137.6,154.7
"131",130,262.2,208.4,188.5,147.5,154.8,165.1,243,251.5,167.3,154.7,138.5,164.2,262.2,208.4,188.5,147.5,154.8,165.1,243,251.5,167.3,154.7,138.5,164.2,262.2,208.4,188.5,147.5,154.8,165.1,243,251.5,167.3,154.7,138.5,164.2,262.2,208.4,188.5,147.5,154.8,165.1,243,251.5,167.3,154.7,138.5,164.2
